S_0,expEuler,impEuler,CN,ADE,BT
3.7619,46.2381,46.2381,46.2381,46.2726,46.2381
3.80769,46.1923,46.1923,46.1923,46.2275,46.1923
3.85437,46.1456,46.1456,46.1456,46.1814,46.1456
3.90196,46.098,46.098,46.098,46.1345,46.098
3.9505,46.0495,46.0495,46.0495,46.0866,46.0495
4,46,46,46,46.0377,46
4.05051,45.9495,45.9495,45.9495,45.9879,45.9495
4.10204,45.898,45.898,45.898,45.9371,45.898
4.15464,45.8454,45.8454,45.8454,45.8852,45.8454
4.20833,45.7917,45.7917,45.7917,45.8323,45.7917
4.26316,45.7368,45.7368,45.7368,45.7782,45.7368
4.31915,45.6809,45.6809,45.6809,45.723,45.6809
4.37634,45.6237,45.6237,45.6237,45.6666,45.6237
4.43478,45.5652,45.5652,45.5652,45.609,45.5652
4.49451,45.5055,45.5055,45.5055,45.5502,45.5055
4.55556,45.4444,45.4444,45.4444,45.49,45.4444
4.61798,45.382,45.382,45.382,45.4285,45.382
4.68182,45.3182,45.3182,45.3182,45.3656,45.3182
4.74713,45.2529,45.2529,45.2529,45.3012,45.2529
4.81395,45.186,45.186,45.186,45.2353,45.186
4.88235,45.1176,45.1176,45.1176,45.1679,45.1176
4.95238,45.0476,45.0476,45.0476,45.099,45.0476
5.0241,44.9759,44.9759,44.9759,45.0283,44.9759
5.09756,44.9024,44.9024,44.9024,44.9559,44.9024
5.17284,44.8272,44.8272,44.8272,44.8818,44.8272
5.25,44.75,44.75,44.75,44.8058,44.75
5.32911,44.6709,44.6709,44.6709,44.7279,44.6709
5.41026,44.5897,44.5897,44.5897,44.6479,44.5897
5.49351,44.5065,44.5065,44.5065,44.566,44.5065
5.57895,44.4211,44.4211,44.4211,44.4818,44.4211
5.66667,44.3333,44.3333,44.3333,44.3954,44.3333
5.75676,44.2432,44.2432,44.2432,44.3067,44.2432
5.84932,44.1507,44.1507,44.1507,44.2156,44.1507
5.94444,44.0556,44.0556,44.0556,44.1219,44.0556
6.04225,43.9577,43.9577,43.9577,44.0257,43.9577
6.14286,43.8571,43.8571,43.8571,43.9266,43.8571
6.24638,43.7536,43.7536,43.7536,43.8247,43.7536
6.35294,43.6471,43.6471,43.6471,43.7198,43.6471
6.46269,43.5373,43.5373,43.5373,43.6118,43.5373
6.57576,43.4242,43.4242,43.4242,43.5005,43.4242
6.69231,43.3077,43.3077,43.3077,43.3858,43.3077
6.8125,43.1875,43.1875,43.1875,43.2675,43.1875
6.93651,43.0635,43.0635,43.0635,43.1454,43.0635
7.06452,42.9355,42.9355,42.9355,43.0194,42.9355
7.19672,42.8033,42.8033,42.8033,42.8893,42.8033
7.33333,42.6667,42.6667,42.6667,42.7548,42.6667
7.47458,42.5254,42.5254,42.5254,42.6158,42.5254
7.62069,42.3793,42.3793,42.3793,42.472,42.3793
7.77193,42.2281,42.2281,42.2281,42.3232,42.2281
7.92857,42.0714,42.0714,42.0714,42.169,42.0714
8.09091,41.9091,41.9091,41.9091,42.0092,41.9091
8.25926,41.7407,41.7407,41.7407,41.8435,41.7407
8.43396,41.566,41.566,41.566,41.6715,41.566
8.61538,41.3846,41.3846,41.3846,41.4929,41.3846
8.80392,41.1961,41.1961,41.1961,41.3072,41.1961
9,41,41,41,41.1142,41
9.20408,40.7959,40.7959,40.7959,40.9132,40.7959
9.41667,40.5833,40.5833,40.5833,40.7038,40.5833
9.6383,40.3617,40.3617,40.3617,40.4855,40.3617
9.86957,40.1304,40.1304,40.1304,40.2577,40.1304
10.1111,39.8889,39.8889,39.8889,40.0197,39.8889
10.3636,39.6364,39.6364,39.6364,39.7709,39.6364
10.6279,39.3721,39.3721,39.3721,39.5105,39.3721
10.9048,39.0952,39.0952,39.0952,39.2375,39.0952
11.1951,38.8049,38.8049,38.8049,38.9513,38.8049
11.5,38.5,38.5,38.5,38.6506,38.5
11.8205,38.1795,38.1795,38.1795,38.3344,38.1795
12.1579,37.8421,37.8421,37.8421,38.0016,37.8421
12.5135,37.4865,37.4865,37.4865,37.6506,37.4865
12.8889,37.1111,37.1111,37.1111,37.28,37.1111
13.2857,36.7143,36.7143,36.7143,36.8882,36.7143
13.7059,36.2941,36.2941,36.2941,36.4731,36.2941
14.1515,35.8485,35.8485,35.8485,36.0327,35.8485
14.625,35.375,35.375,35.375,35.5647,35.375
15.129,34.871,34.871,34.871,35.0662,34.871
15.6667,34.3333,34.3333,34.3333,34.5343,34.3333
16.2414,33.7586,33.7586,33.7586,33.9655,33.7586
